,Values,Year,Day_of_month,Day_of_week,Prev_week,ID,date
133,-0.10405384730029388,2019,20,2,-0.04105964329552547,Energy,20/2/2019
134,-0.08762182369807858,2019,21,3,-0.018780896560764315,Energy,21/2/2019
135,-0.07842756941574436,2019,22,4,-0.03129570057634812,Energy,22/2/2019
136,-0.07171765521587403,2019,23,5,-0.017700687538692694,Energy,23/2/2019
137,-0.11979578151316295,2019,24,6,-0.07839162608442463,Energy,24/2/2019
138,-0.16535321841493955,2019,25,0,-0.1384200164663958,Energy,25/2/2019
139,-0.133817011741046,2019,26,1,-0.12602771185509454,Energy,26/2/2019
140,-0.23824438336557519,2019,28,3,-0.10405384730029388,Energy,28/2/2019
141,-0.34743512484861583,2019,1,4,-0.08762182369807858,Energy,1/3/2019
142,-0.30956654595972033,2019,2,5,-0.07842756941574436,Energy,2/3/2019
143,-0.28756693880934314,2019,7,3,-0.07171765521587403,Energy,7/3/2019
144,-0.26950784674762485,2019,8,4,-0.11979578151316295,Energy,8/3/2019
145,-0.4057983151403679,2019,11,0,-0.16535321841493955,Energy,11/3/2019
146,-0.575309290854622,2019,12,1,-0.133817011741046,Energy,12/3/2019
147,-0.4991822144785871,2019,13,2,-0.23824438336557519,Energy,13/3/2019
148,-0.42572787806690693,2019,14,3,-0.34743512484861583,Energy,14/3/2019
149,-0.3690696240111646,2019,15,4,-0.30956654595972033,Energy,15/3/2019
150,-0.3120916388647377,2019,16,5,-0.28756693880934314,Energy,16/3/2019
151,-0.31273797295541383,2019,17,6,-0.26950784674762485,Energy,17/3/2019
152,-0.34905116896156274,2019,18,0,-0.4057983151403679,Energy,18/3/2019
153,-0.29415372633411163,2019,19,1,-0.575309290854622,Energy,19/3/2019
154,-0.23820211681279746,2019,20,2,-0.4991822144785871,Energy,20/3/2019
155,-0.18630147729638358,2019,21,3,-0.42572787806690693,Energy,21/3/2019
156,-0.19676949860715665,2019,25,0,-0.3690696240111646,Energy,25/3/2019
157,-0.20742411607729316,2019,26,1,-0.3120916388647377,Energy,26/3/2019
158,-0.10862275522553144,2019,27,2,-0.31273797295541383,Energy,27/3/2019
159,-0.04485942921118413,2019,28,3,-0.34905116896156274,Energy,28/3/2019
160,0.010806469073925573,2019,29,4,-0.29415372633411163,Energy,29/3/2019
161,0.0653584665975524,2019,30,5,-0.23820211681279746,Energy,30/3/2019
162,0.0494473338359831,2019,31,6,-0.18630147729638358,Energy,31/3/2019
163,0.0012729166049969542,2019,1,0,-0.19676949860715665,Energy,1/4/2019
164,0.04306458792494272,2019,2,1,-0.20742411607729316,Energy,2/4/2019
165,0.08453884014373347,2019,3,2,-0.10862275522553144,Energy,3/4/2019
166,0.13676742981861212,2019,4,3,-0.04485942921118413,Energy,4/4/2019
167,0.18564999560857354,2019,5,4,0.010806469073925573,Energy,5/4/2019
168,0.21544715600919195,2019,6,5,0.0653584665975524,Energy,6/4/2019
169,0.15687662295905325,2019,7,6,0.0494473338359831,Energy,7/4/2019
170,0.04149697353776238,2019,8,0,0.0012729166049969542,Energy,8/4/2019
171,0.08615224137380739,2019,9,1,0.04306458792494272,Energy,9/4/2019
172,0.11996001133416323,2019,10,2,0.08453884014373347,Energy,10/4/2019
173,0.1676654413436438,2019,11,3,0.13676742981861212,Energy,11/4/2019
174,0.22221988715430419,2019,12,4,0.18564999560857354,Energy,12/4/2019
175,0.28263730015559574,2019,13,5,0.21544715600919195,Energy,13/4/2019
176,0.23493572436733956,2019,14,6,0.15687662295905325,Energy,14/4/2019
177,0.1531700880107838,2019,15,0,0.04149697353776238,Energy,15/4/2019
178,0.19522896776477427,2019,16,1,0.08615224137380739,Energy,16/4/2019
179,0.2494662100091869,2019,17,2,0.11996001133416323,Energy,17/4/2019
180,0.21683016947966438,2019,18,3,0.1676654413436438,Energy,18/4/2019
181,0.2380963759296688,2019,19,4,0.22221988715430419,Energy,19/4/2019
182,0.18930579206695564,2019,20,5,0.28263730015559574,Energy,20/4/2019
183,0.12951248110447766,2019,21,6,0.23493572436733956,Energy,21/4/2019
184,0.06561946974493305,2019,22,0,0.1531700880107838,Energy,22/4/2019
185,0.1096681148146339,2019,23,1,0.19522896776477427,Energy,23/4/2019
186,0.16611696313185131,2019,24,2,0.2494662100091869,Energy,24/4/2019
187,0.21715126120839567,2019,25,3,0.21683016947966438,Energy,25/4/2019
188,0.25994719337783234,2019,26,4,0.2380963759296688,Energy,26/4/2019
189,0.30694595283977755,2019,27,5,0.18930579206695564,Energy,27/4/2019
190,0.29216920554530024,2019,28,6,0.12951248110447766,Energy,28/4/2019
191,0.251185868845468,2019,29,0,0.06561946974493305,Energy,29/4/2019
192,0.2337511166681221,2019,30,1,0.1096681148146339,Energy,30/4/2019
193,0.14483988835581219,2019,1,2,0.16611696313185131,Energy,1/5/2019
194,0.06567277768004232,2019,2,3,0.21715126120839567,Energy,2/5/2019
195,0.11425090567940455,2019,3,4,0.25994719337783234,Energy,3/5/2019
196,0.15157341700958238,2019,4,5,0.30694595283977755,Energy,4/5/2019
197,0.1229076925831043,2019,5,6,0.29216920554530024,Energy,5/5/2019
198,0.07020972966767713,2019,6,0,0.251185868845468,Energy,6/5/2019
199,0.11892068373330744,2019,7,1,0.2337511166681221,Energy,7/5/2019
200,0.042557473070691465,2019,14,1,0.14483988835581219,Energy,14/5/2019
201,-0.13852321442297333,2019,15,2,0.06567277768004232,Energy,15/5/2019
202,-0.07941182711219241,2019,16,3,0.11425090567940455,Energy,16/5/2019
203,-0.0059012576397829974,2019,17,4,0.15157341700958238,Energy,17/5/2019
204,0.09313181705823359,2019,18,5,0.1229076925831043,Energy,18/5/2019
205,0.04460303172841851,2019,19,6,0.07020972966767713,Energy,19/5/2019
206,-0.013831915445993825,2019,20,0,0.11892068373330744,Energy,20/5/2019
207,0.08090360082890857,2019,21,1,0.042557473070691465,Energy,21/5/2019
208,0.1617294581909725,2019,22,2,-0.13852321442297333,Energy,22/5/2019
209,0.029746672376172345,2019,24,4,-0.07941182711219241,Energy,24/5/2019
210,-0.17957674859861728,2019,25,5,-0.0059012576397829974,Energy,25/5/2019
211,-0.21877660070837823,2019,26,6,0.09313181705823359,Energy,26/5/2019
212,-0.2606036475632081,2019,27,0,0.04460303172841851,Energy,27/5/2019
213,-0.12716693196149187,2019,28,1,-0.013831915445993825,Energy,28/5/2019
214,-0.046515949843702664,2019,29,2,0.08090360082890857,Energy,29/5/2019
215,0.03138103696244521,2019,30,3,0.1617294581909725,Energy,30/5/2019
